"","region","Freq"
"1","alabama",2
"2","alaska",1
"3","arizona",6
"4","arkansas",4
"5","california",24
"6","colorado",4
"7","connecticut",3
"8","dakota",2
"9","delaware",1
"10","district of columbia",12
"11","florida",10
"12","georgia",9
"13","hawaii",1
"14","idaho",2
"15","illinois",4
"16","indiana",4
"17","iowa",1
"18","kansas",17
"19","kentucky",1
"20","louisiana",3
"21","maine",1
"22","maryland",3
"23","massachusetts",7
"24","michigan",4
"25","minnesota",6
"26","mississippi",2
"27","missouri",2
"28","montana",1
"29","nebraska",2
"30","nevada",3
"31","new hampshire",4
"32","new jersey",4
"33","new mexico",2
"34","new york",13
"35","new york city",1
"36","north carolina",9
"37","north dakota",1
"38","ohio",4
"39","oklahoma",3
"40","oregon",1
"41","pennsylvania",8
"42","puerto rico",1
"43","rhode island",2
"44","south carolina",1
"45","south dakota",1
"46","tennessee",2
"47","texas",9
"48","utah",1
"49","vermont",2
"50","virgin islands",1
"51","virginia",6
"52","washington",6
"53","west virginia",1
"54","wisconsin",4
"55","wyoming",3
