"","x"
"1","california"
"2","california"
"3","texas"
"4","kansas"
"5","pennsylvania"
"6","florida"
"7","michigan"
"8","texas"
"9","florida"
"10","new york"
"11","nevada"
"12","alabama"
"13","california"
"14","kansas"
"15","texas"
"16","kansas"
"17","minnesota"
"18","wyoming"
"19","texas"
"20","kansas"
"21","pennsylvania"
"22","new york"
"23","california"
"24","south dakota"
"25","pennsylvania"
"26","oklahoma"
"27","kansas"
"28","kansas"
"29","minnesota"
"30","california"
"31","michigan"
"32","idaho"
"33","idaho"
"34","maryland"
"35","new jersey"
"36","kansas"
"37","kansas"
"38","new jersey"
"39","arizona"
"40","district of columbia"
"41","missouri"
"42","kansas"
"43","pennsylvania"
"44","north carolina"
"45","california"
"46","massachusetts"
"47","district of columbia"
"48","kentucky"
"49","arkansas"
"50","arkansas"
"51","arkansas"
"52","louisiana"
"53","louisiana"
"54","new hampshire"
"55","new hampshire"
"56","rhode island"
"57","dakota"
"58","tennessee"
"59","vermont"
"60","wyoming"
"61","alabama"
"62","hawaii"
"63","iowa"
"64","north dakota"
"65","puerto rico"
"66","virgin islands"
"67","new york city"
"68","arizona"
"69","district of columbia"
"70","district of columbia"
"71","minnesota"
"72","michigan"
"73","arizona"
"74","florida"
"75","south carolina"
"76","florida"
"77","georgia"
"78","ohio"
"79","arizona"
"80","alaska"
"81","washington"
"82","texas"
"83","kansas"
"84","oklahoma"
"85","california"
"86","nevada"
"87","new york"
"88","arizona"
"89","kansas"
"90","missouri"
"91","georgia"
"92","district of columbia"
"93","california"
"94","california"
"95","district of columbia"
"96","district of columbia"
"97","virginia"
"98","indiana"
"99","pennsylvania"
"100","colorado"
"101","california"
"102","north carolina"
"103","texas"
"104","new york"
"105","massachusetts"
"106","massachusetts"
"107","north carolina"
"108","new york"
"109","georgia"
"110","washington"
"111","massachusetts"
"112","colorado"
"113","minnesota"
"114","texas"
"115","ohio"
"116","california"
"117","virginia"
"118","california"
"119","california"
"120","virginia"
"121","new jersey"
"122","district of columbia"
"123","indiana"
"124","california"
"125","california"
"126","new york"
"127","massachusetts"
"128","california"
"129","utah"
"130","massachusetts"
"131","virginia"
"132","california"
"133","california"
"134","mississippi"
"135","kansas"
"136","california"
"137","florida"
"138","illinois"
"139","oklahoma"
"140","georgia"
"141","new york"
"142","north carolina"
"143","new york"
"144","kansas"
"145","washington"
"146","district of columbia"
"147","georgia"
"148","georgia"
"149","california"
"150","arizona"
"151","minnesota"
"152","north carolina"
"153","wisconsin"
"154","virginia"
"155","north carolina"
"156","colorado"
"157","wisconsin"
"158","connecticut"
"159","illinois"
"160","new york"
"161","california"
"162","montana"
"163","pennsylvania"
"164","minnesota"
"165","district of columbia"
"166","north carolina"
"167","connecticut"
"168","new york"
"169","indiana"
"170","washington"
"171","washington"
"172","delaware"
"173","illinois"
"174","new hampshire"
"175","pennsylvania"
"176","texas"
"177","pennsylvania"
"178","west virginia"
"179","maryland"
"180","new york"
"181","indiana"
"182","massachusetts"
"183","california"
"184","maryland"
"185","connecticut"
"186","florida"
"187","ohio"
"188","florida"
"189","north carolina"
"190","nevada"
"191","nebraska"
"192","wisconsin"
"193","mississippi"
"194","kansas"
"195","ohio"
"196","california"
"197","new jersey"
"198","colorado"
"199","kansas"
"200","district of columbia"
"201","georgia"
"202","florida"
"203","new york"
"204","north carolina"
"205","new mexico"
"206","nebraska"
"207","florida"
"208","michigan"
"209","virginia"
"210","oregon"
"211","texas"
"212","georgia"
"213","florida"
"214","georgia"
"215","illinois"
"216","kansas"
"217","washington"
"218","new mexico"
"219","district of columbia"
"220","wisconsin"
"221","new york"
"222","california"
"223","kansas"
"224","maine"
"225","arkansas"
"226",NA
"227","louisiana"
"228",NA
"229","new hampshire"
"230","rhode island"
"231","dakota"
"232","tennessee"
"233","vermont"
"234","wyoming"
